age,age_group,gender,job_type,daily_social_media_time,work_hours_per_day,stress_level,sleep_hours,screen_time_before_sleep,coffee_consumption_per_day,weekly_offline_hours
57,Senior,Female,Unemployed,3.31,5.94,7.0,6.86,0.01,2,19.81
39,Adult,Female,Student,2.23,6.07,3.0,4.66,0.75,3,18.06
52,Senior,Female,Unemployed,3.44,6.52,7.0,8.06,0.38,1,4.56
54,Senior,Female,IT,6.31,7.65,5.0,5.84,1.73,2,10.27
43,Adult,Female,IT,2.74,11.92,6.0,5.78,1.38,1,12.86
59,Senior,Female,Finance,5.22,8.61,3.0,5.75,1.29,4,3.51
30,Young Adult,Female,Unemployed,2.07,6.38,1.0,6.75,0.0,1,12.95
49,Adult,Female,Student,2.25,5.01,7.0,6.18,0.64,1,11.74
21,Young Adult,Female,Health,5.58,4.17,8.0,9.03,0.0,0,3.35
47,Adult,Female,IT,5.52,9.71,5.0,7.57,0.0,2,12.37
62,Senior,Female,IT,5.4,8.35,10.0,6.29,0.0,2,9.9
53,Senior,Female,Education,6.04,5.21,7.0,7.65,1.8,1,16.07
45,Adult,Female,Health,2.94,7.31,3.0,8.69,0.35,4,8.6
61,Senior,Female,Health,4.1,9.7,4.0,7.45,1.87,3,21.73
30,Young Adult,Female,Health,5.87,7.32,7.0,7.46,0.81,1,1.07
58,Senior,Female,Finance,2.16,3.42,10.0,8.3,1.85,0,14.01
54,Senior,Female,Student,2.49,9.8,4.0,4.43,0.61,1,0.0
61,Senior,Female,IT,0.0,6.47,8.0,5.52,1.31,2,10.29
41,Adult,Female,Unemployed,1.53,4.57,9.0,5.93,0.96,1,21.29
32,Young Adult,Female,Student,5.93,11.15,1.0,5.84,0.22,3,16.1
49,Adult,Female,Unemployed,1.5,10.79,3.0,7.17,0.42,1,14.73
41,Adult,Female,Student,1.36,5.59,8.0,6.94,2.04,1,8.12
56,Senior,Female,Health,4.3,7.55,8.0,6.98,0.22,3,6.34
45,Adult,Female,Education,3.89,5.31,2.0,6.07,0.0,2,14.43
40,Adult,Female,Finance,1.8,9.77,6.0,4.5,2.01,4,9.47
54,Senior,Female,Health,6.2,7.3,7.0,7.24,0.82,4,16.23
61,Senior,Female,IT,3.25,7.46,6.0,4.58,1.23,2,5.02
49,Adult,Female,IT,2.74,6.03,3.0,6.79,0.07,1,20.95
34,Young Adult,Female,Student,0.26,5.74,9.0,3.07,0.81,3,18.14
41,Adult,Female,Finance,3.09,2.67,9.0,6.3,1.93,0,10.1
28,Young Adult,Female,IT,1.45,5.03,6.0,7.07,0.32,1,5.45
33,Young Adult,Female,Finance,5.58,4.28,6.0,4.66,0.36,6,11.05
26,Young Adult,Female,Health,2.42,6.74,1.0,8.94,0.77,2,17.18
23,Young Adult,Female,Finance,2.58,4.81,3.0,5.59,2.02,3,15.94
37,Adult,Female,Unemployed,1.89,4.35,10.0,5.46,1.9,2,9.26
53,Senior,Female,Health,1.22,4.72,4.0,6.75,0.0,0,11.75
36,Adult,Female,IT,0.0,7.54,8.0,5.68,2.44,2,5.02
37,Adult,Female,Finance,4.46,8.58,10.0,6.84,1.82,1,5.74
49,Adult,Female,Finance,0.87,11.87,2.0,5.76,0.76,4,0.19
57,Senior,Female,Education,6.02,6.41,3.0,6.99,0.97,0,10.5
35,Young Adult,Female,Finance,5.16,5.65,2.0,5.21,1.65,2,5.1
42,Adult,Female,IT,1.57,6.1,10.0,6.05,0.94,2,13.55
48,Adult,Female,Finance,2.58,5.85,7.0,7.93,1.86,1,0.0
47,Adult,Female,Finance,0.97,8.03,5.0,4.8,0.7,3,0.15
52,Senior,Female,Health,4.6,8.49,5.0,8.85,0.25,2,9.54
24,Young Adult,Female,IT,0.0,4.04,1.0,8.63,1.93,0,18.84
33,Young Adult,Female,Finance,4.01,5.56,7.0,7.85,0.86,3,11.44
43,Adult,Female,Education,0.8,2.14,7.0,9.05,1.51,2,11.22
26,Young Adult,Female,Student,1.06,6.74,10.0,4.93,1.77,0,0.0
52,Senior,Female,Health,1.68,8.39,7.0,3.98,0.87,2,22.88
50,Adult,Female,Education,0.81,5.81,8.0,7.08,0.9,2,17.2
41,Adult,Female,Unemployed,0.5,8.1,10.0,6.93,0.41,2,0.93
53,Senior,Female,Finance,2.7,6.23,4.0,6.8,1.96,1,15.75
55,Senior,Female,Student,0.15,10.16,5.0,4.64,0.17,4,12.27
65,Senior,Female,Finance,3.39,4.51,8.0,4.12,0.75,0,19.81
42,Adult,Female,Finance,2.48,7.4,9.0,8.64,1.51,4,18.04
52,Senior,Female,Education,1.77,8.47,3.0,6.23,1.31,2,7.38
42,Adult,Female,Finance,6.16,8.13,7.0,5.5,1.06,1,0.0
35,Young Adult,Female,IT,3.67,3.94,8.0,6.87,1.48,3,11.83
33,Young Adult,Female,Unemployed,4.4,6.95,9.0,8.04,0.54,3,27.63
53,Senior,Female,Finance,4.17,4.66,10.0,6.06,1.24,2,4.49
21,Young Adult,Female,Health,2.15,5.66,2.0,8.15,1.2,0,0.0
37,Adult,Female,Student,3.09,4.81,6.0,6.25,0.4,4,0.0
34,Young Adult,Female,Health,4.38,6.33,10.0,5.12,0.06,1,8.5
39,Adult,Female,IT,3.52,6.95,2.0,8.33,1.49,1,10.93
47,Adult,Female,IT,2.8,8.63,4.0,6.77,1.18,3,1.07
62,Senior,Female,Finance,7.64,6.93,1.0,6.89,0.57,2,0.83
51,Senior,Female,Health,2.95,7.53,10.0,8.01,0.55,4,0.0
38,Adult,Female,Student,12.3,8.16,2.0,8.7,1.95,3,12.75
64,Senior,Female,Health,1.9,6.59,8.0,7.8,0.0,3,19.66
22,Young Adult,Female,Unemployed,0.0,5.57,1.0,5.18,1.56,0,0.29
36,Adult,Female,IT,2.05,8.13,10.0,7.11,1.75,0,10.54
52,Senior,Female,Health,2.49,7.26,8.0,4.84,0.96,1,22.03
63,Senior,Female,Unemployed,1.15,6.81,2.0,6.91,1.2,0,13.99
23,Young Adult,Female,IT,0.45,3.17,8.0,6.17,1.26,1,18.93
54,Senior,Female,Health,1.42,6.79,6.0,6.66,0.38,2,4.98
41,Adult,Female,Unemployed,0.35,8.56,7.0,6.88,1.31,4,11.84
52,Senior,Female,IT,1.73,5.75,2.0,4.82,0.0,0,3.27
38,Adult,Female,Unemployed,6.58,8.39,3.0,5.06,1.29,2,24.01
40,Adult,Female,Unemployed,4.36,7.75,6.0,7.61,1.63,3,15.16
63,Senior,Female,Finance,4.03,7.79,9.0,4.41,1.79,2,0.0
34,Young Adult,Female,Student,3.31,6.2,10.0,6.84,0.0,3,5.74
50,Adult,Female,Student,3.03,5.5,2.0,7.32,0.46,1,16.8
26,Young Adult,Female,Health,3.5,5.96,7.0,6.95,0.77,3,1.46
46,Adult,Female,Health,2.46,5.09,2.0,3.52,1.11,3,0.0
52,Senior,Female,Student,1.09,5.12,5.0,7.51,0.42,3,10.15
42,Adult,Female,Health,2.41,4.86,6.0,9.46,1.17,3,13.47
62,Senior,Female,Unemployed,0.0,5.67,10.0,7.72,1.16,4,4.05
33,Young Adult,Female,Finance,2.14,7.09,2.0,4.61,1.25,3,6.59
31,Young Adult,Female,Finance,0.52,7.52,5.0,7.78,0.98,1,0.45
29,Young Adult,Female,IT,4.86,6.98,7.0,5.5,0.84,3,15.45
49,Adult,Female,Finance,4.08,8.96,8.0,5.79,1.24,3,3.82
39,Adult,Female,Education,7.79,8.72,6.0,7.15,0.54,1,20.43
39,Adult,Female,Student,5.17,6.09,1.0,6.39,1.58,5,0.0
59,Senior,Female,Health,1.0,9.92,3.0,5.23,0.77,3,3.31
23,Young Adult,Female,Student,1.32,7.67,5.0,5.84,0.53,1,16.3
54,Senior,Female,Unemployed,2.68,4.73,10.0,7.44,1.76,5,0.0
50,Adult,Female,Health,4.39,7.21,2.0,4.37,1.4,4,11.67
25,Young Adult,Female,Finance,3.95,6.84,5.0,4.55,1.33,2,23.83
22,Young Adult,Female,Finance,0.48,10.71,1.0,6.43,1.94,2,0.0
56,Senior,Female,Unemployed,1.16,7.04,10.0,9.01,0.0,2,0.89
21,Young Adult,Female,Student,6.26,6.53,6.0,3.41,1.38,0,14.95
23,Young Adult,Female,Unemployed,3.41,6.65,8.0,7.21,0.86,1,20.55
62,Senior,Female,Unemployed,1.77,9.7,2.0,6.68,2.36,5,3.96
49,Adult,Female,Health,4.24,8.82,9.0,6.1,0.0,2,15.29
57,Senior,Female,Health,0.17,4.65,6.0,7.22,1.27,2,10.98
59,Senior,Female,Student,4.24,5.66,6.0,4.32,1.12,1,16.1
47,Adult,Female,IT,1.92,5.2,3.0,5.4,0.0,1,3.87
36,Adult,Female,Student,2.88,6.05,7.0,4.96,1.89,3,0.0
36,Adult,Female,IT,0.17,6.71,9.0,5.29,1.2,4,13.21
26,Young Adult,Female,Unemployed,3.67,3.75,8.0,6.71,1.34,1,7.26
51,Senior,Female,Health,1.5,5.36,4.0,8.8,0.0,4,7.34
49,Adult,Female,Education,4.46,2.58,4.0,7.41,1.15,3,4.89
57,Senior,Female,Education,4.21,4.93,7.0,5.43,0.0,4,9.27
33,Young Adult,Female,IT,0.0,5.71,8.0,8.45,0.76,0,17.76
22,Young Adult,Female,Finance,4.43,6.26,4.0,7.64,0.12,4,9.02
31,Young Adult,Female,Health,4.45,4.42,6.0,5.17,1.0,0,3.7
45,Adult,Female,IT,3.79,6.84,3.0,6.75,0.19,0,26.34
33,Young Adult,Female,Unemployed,2.2,8.64,10.0,10.0,1.02,2,13.52
43,Adult,Female,Student,4.91,7.31,1.0,7.92,1.57,1,6.66
50,Adult,Female,Education,4.94,6.75,9.0,6.1,0.0,0,20.02
47,Adult,Female,Unemployed,1.3,7.77,2.0,5.81,1.18,0,0.86
54,Senior,Female,Unemployed,4.94,6.94,10.0,6.32,0.74,1,15.48
53,Senior,Female,Finance,5.18,7.74,9.0,7.84,0.91,1,19.73
49,Adult,Female,Health,3.59,7.84,4.0,4.95,0.64,2,16.21
49,Adult,Female,IT,3.69,11.84,8.0,4.91,0.0,3,15.12
37,Adult,Female,Student,0.26,7.5,4.0,4.44,0.39,1,3.74
41,Adult,Female,Finance,4.6,8.67,2.0,3.77,1.88,2,8.24
29,Young Adult,Female,Student,4.12,6.8,7.0,7.0,0.77,4,7.63
57,Senior,Female,IT,7.23,7.11,5.0,7.42,0.0,3,0.0
60,Senior,Female,Health,2.23,5.97,7.0,7.18,0.65,1,5.23
46,Adult,Female,Health,5.6,6.7,6.0,5.26,1.06,0,2.94
29,Young Adult,Female,Unemployed,1.43,4.9,1.0,4.06,1.59,1,7.71
40,Adult,Female,Unemployed,3.48,6.76,2.0,7.19,1.69,3,19.89
34,Young Adult,Female,Health,3.64,8.44,1.0,5.37,0.75,3,6.68
43,Adult,Female,Education,4.05,7.6,3.0,4.65,1.22,4,8.64
62,Senior,Female,Health,3.47,5.65,8.0,6.71,0.89,0,6.83
42,Adult,Female,Student,3.52,12.0,6.0,5.2,1.21,3,3.99
38,Adult,Female,Education,4.18,8.51,1.0,6.19,1.38,4,13.5
54,Senior,Female,Student,0.69,8.41,1.0,7.06,2.13,3,14.37
41,Adult,Female,Unemployed,2.84,4.63,9.0,5.85,0.72,0,1.5
35,Young Adult,Female,IT,0.25,5.12,1.0,8.25,0.64,0,1.87
49,Adult,Female,Student,4.13,7.42,6.0,4.92,0.8,4,16.33
30,Young Adult,Female,Finance,6.61,3.33,4.0,6.41,0.0,2,13.53
40,Adult,Female,Finance,3.2,4.74,1.0,6.15,1.09,3,10.77
52,Senior,Female,Education,1.08,6.42,9.0,6.77,0.38,2,14.77
37,Adult,Female,Finance,2.74,5.08,4.0,7.47,2.18,1,4.88
39,Adult,Female,Student,3.3,8.17,8.0,7.35,1.74,2,26.72
30,Young Adult,Female,IT,5.46,6.16,2.0,5.25,2.35,1,6.04
53,Senior,Female,Student,0.16,9.82,3.0,8.28,1.44,1,0.0
29,Young Adult,Female,Unemployed,6.27,7.95,3.0,6.9,1.72,2,10.03
58,Senior,Female,Student,2.07,8.16,8.0,7.44,0.06,3,18.37
36,Adult,Female,Unemployed,5.41,8.13,7.0,6.96,1.22,1,11.06
29,Young Adult,Female,Finance,3.81,5.68,3.0,6.42,1.54,4,6.41
48,Adult,Female,Student,1.66,5.59,4.0,5.21,1.96,2,0.0
22,Young Adult,Female,Health,0.76,4.84,3.0,3.92,0.76,2,11.5
29,Young Adult,Female,Unemployed,3.32,7.67,10.0,6.67,2.51,2,16.05
42,Adult,Female,Finance,2.67,4.15,6.0,7.2,0.53,2,8.04
56,Senior,Female,Unemployed,2.12,7.28,6.0,5.28,0.0,1,12.02
40,Adult,Female,Student,2.61,3.89,2.0,5.56,1.65,7,9.07
29,Young Adult,Female,Health,3.87,3.24,7.0,5.78,1.77,2,9.74
26,Young Adult,Female,IT,0.0,8.01,7.0,7.21,1.34,0,6.41
57,Senior,Female,IT,3.29,7.47,5.0,7.03,0.24,4,10.0
59,Senior,Female,IT,3.91,6.67,2.0,6.14,0.0,2,12.65
26,Young Adult,Female,Finance,3.03,8.9,7.0,5.62,0.55,2,4.59
44,Adult,Female,Education,0.0,6.99,3.0,7.81,0.92,1,0.0
46,Adult,Female,Student,0.0,6.75,9.0,7.43,1.02,2,11.54
54,Senior,Female,Student,1.44,7.81,2.0,5.38,0.51,3,6.97
36,Adult,Female,Finance,4.83,8.13,2.0,3.71,0.62,5,9.27
25,Young Adult,Female,IT,2.68,6.93,8.0,7.48,1.42,5,14.39
62,Senior,Female,Student,3.49,8.58,2.0,7.2,0.94,4,6.57
56,Senior,Female,IT,1.0,7.61,1.0,5.39,1.63,2,10.12
36,Adult,Female,Education,1.65,5.42,8.0,6.93,1.0,3,15.68
56,Senior,Female,Health,6.52,8.36,5.0,5.66,1.89,3,0.0
45,Adult,Female,Student,2.55,10.28,6.0,5.09,0.55,3,11.18
37,Adult,Female,Education,0.82,6.57,2.0,9.54,0.74,4,13.5
25,Young Adult,Female,Health,2.29,6.06,3.0,9.52,2.43,3,27.92
61,Senior,Female,Finance,0.0,6.5,2.0,6.82,1.25,3,0.0
33,Young Adult,Female,IT,6.02,4.28,10.0,6.98,1.1,3,10.92
28,Young Adult,Female,IT,2.86,6.03,6.0,8.18,1.28,4,2.42
29,Young Adult,Female,Student,4.74,5.67,1.0,4.88,0.0,1,19.64
41,Adult,Female,Health,4.39,8.16,2.0,6.4,2.34,2,0.0
45,Adult,Female,Finance,4.5,6.47,2.0,7.28,0.22,5,21.34
25,Young Adult,Female,Education,4.62,6.72,2.0,5.55,1.45,1,0.0
34,Young Adult,Female,Unemployed,3.22,4.17,8.0,6.98,1.18,0,28.01
50,Adult,Female,Student,5.64,8.28,2.0,7.44,1.91,4,3.16
46,Adult,Female,Student,5.12,7.71,1.0,4.8,1.4,1,12.22
63,Senior,Female,Finance,3.2,9.8,2.0,6.49,0.34,2,2.07
35,Young Adult,Female,Health,3.91,7.99,6.0,6.22,0.0,0,11.72
22,Young Adult,Female,Student,5.02,7.83,1.0,5.63,1.44,1,15.67
42,Adult,Female,Finance,2.28,9.12,4.0,4.83,0.56,0,11.91
39,Adult,Female,IT,2.77,6.08,6.0,5.93,1.52,1,0.0
38,Adult,Female,IT,4.62,6.67,3.0,5.67,0.67,1,5.28
23,Young Adult,Female,Health,3.08,8.89,10.0,7.3,1.67,3,13.41
45,Adult,Female,Student,0.97,5.79,4.0,7.41,0.0,2,19.66
22,Young Adult,Female,Education,0.86,6.34,3.0,7.34,1.6,4,23.49
22,Young Adult,Female,Finance,0.19,10.94,6.0,6.82,1.06,3,13.2
55,Senior,Female,Unemployed,1.31,7.59,6.0,4.9,0.85,0,13.09
54,Senior,Female,Student,2.1,5.89,10.0,6.66,1.35,3,5.76
36,Adult,Female,Unemployed,5.42,8.58,6.0,6.37,0.0,4,1.51
38,Adult,Female,Finance,2.85,8.34,2.0,6.57,0.63,3,9.56
51,Senior,Female,IT,7.39,6.44,1.0,6.1,1.27,2,14.12
45,Adult,Female,Finance,3.05,9.81,7.0,6.87,0.65,2,10.52
56,Senior,Female,IT,1.82,7.72,10.0,8.22,1.81,1,5.88
43,Adult,Female,Unemployed,2.49,9.38,8.0,6.08,0.49,3,3.51
47,Adult,Female,IT,3.31,5.75,8.0,7.75,1.92,3,18.85
47,Adult,Female,IT,2.89,10.05,7.0,7.98,1.9,4,0.0
65,Senior,Female,IT,17.82,6.81,3.0,5.82,1.4,5,17.97
64,Senior,Female,Education,3.16,5.86,10.0,7.52,0.98,1,14.01
40,Adult,Female,IT,1.43,9.12,3.0,6.3,1.01,4,16.4
54,Senior,Female,Education,2.58,6.27,3.0,5.31,1.7,3,0.0
31,Young Adult,Female,IT,0.0,6.34,7.0,6.54,0.9,1,15.61
55,Senior,Female,Finance,2.23,9.12,10.0,3.68,0.03,3,12.69
55,Senior,Female,Finance,0.0,4.57,7.0,3.43,0.08,6,17.87
51,Senior,Female,Health,0.51,8.87,5.0,6.97,1.9,0,8.59
47,Adult,Female,Education,3.73,9.13,3.0,6.0,0.0,2,2.31
21,Young Adult,Female,Education,4.6,11.85,1.0,6.73,0.34,1,4.7
27,Young Adult,Female,Unemployed,5.28,4.65,7.0,5.62,1.08,3,10.97
23,Young Adult,Female,Unemployed,2.08,7.01,5.0,5.22,1.17,5,8.58
40,Adult,Female,Student,3.84,8.02,4.0,7.75,1.12,1,4.88
48,Adult,Female,Health,4.63,8.31,9.0,5.62,2.68,0,11.91
25,Young Adult,Female,Health,1.7,8.7,10.0,6.62,2.0,2,10.99
21,Young Adult,Female,Education,1.34,5.19,7.0,6.73,1.62,0,3.88
42,Adult,Female,Finance,7.05,4.01,7.0,6.63,0.94,1,21.22
49,Adult,Female,IT,3.46,6.23,10.0,7.1,1.68,1,3.71
38,Adult,Female,Health,0.03,6.34,7.0,6.31,0.0,0,15.41
45,Adult,Female,Finance,5.05,7.91,7.0,5.8,1.6,3,0.71
58,Senior,Female,Unemployed,3.27,7.92,7.0,6.49,0.55,2,9.19
29,Young Adult,Female,Health,3.29,7.85,1.0,3.62,0.92,3,0.0
43,Adult,Female,Finance,0.0,4.27,3.0,6.58,0.13,1,12.19
63,Senior,Female,Health,4.17,4.33,5.0,5.15,1.25,3,9.21
51,Senior,Female,Student,4.15,9.01,2.0,5.48,0.48,6,0.0
31,Young Adult,Female,IT,3.71,4.14,4.0,7.07,1.05,2,7.21
62,Senior,Female,Unemployed,4.52,8.75,5.0,3.56,0.2,1,8.62
43,Adult,Female,Health,3.66,8.06,9.0,9.01,1.58,0,0.0
39,Adult,Female,Unemployed,5.93,5.43,7.0,7.61,0.58,4,6.92
60,Senior,Female,Education,4.9,6.83,7.0,5.59,1.42,3,19.02
65,Senior,Female,Unemployed,4.12,6.95,6.0,3.84,1.13,0,12.68
52,Senior,Female,Health,0.0,6.72,4.0,6.6,1.19,1,12.53
64,Senior,Female,Education,1.75,7.11,7.0,3.53,0.78,1,14.26
43,Adult,Female,Finance,1.63,6.01,8.0,4.9,1.51,2,17.06
31,Young Adult,Female,Unemployed,2.26,4.75,9.0,7.59,0.05,3,15.81
62,Senior,Female,Unemployed,1.67,7.39,9.0,6.13,0.47,1,10.72
43,Adult,Female,Health,4.35,10.63,7.0,4.22,0.53,4,0.93
64,Senior,Female,Unemployed,1.53,7.29,2.0,6.57,0.73,4,0.0
63,Senior,Female,Finance,3.39,10.96,7.0,4.51,1.06,1,7.59
60,Senior,Female,Education,2.39,7.04,4.0,4.2,0.29,3,14.12
35,Young Adult,Female,Education,2.01,6.92,8.0,8.38,0.75,2,7.12
52,Senior,Female,Student,3.01,7.48,10.0,5.91,0.82,3,17.83
42,Adult,Female,Health,0.0,7.16,8.0,8.55,1.35,1,12.31
45,Adult,Female,Student,5.79,8.89,6.0,6.46,1.7,1,12.89
27,Young Adult,Female,Health,2.4,8.91,7.0,8.68,1.97,1,21.54
56,Senior,Female,Health,0.45,4.29,9.0,6.25,1.02,0,26.33
34,Young Adult,Female,Education,0.25,6.63,3.0,7.31,0.93,2,27.16
27,Young Adult,Female,Student,4.17,5.72,2.0,6.11,1.83,2,10.54
58,Senior,Female,Finance,3.1,5.8,9.0,8.98,1.19,0,10.59
62,Senior,Female,Health,2.97,4.67,8.0,5.4,0.6,3,3.46
64,Senior,Female,Unemployed,7.37,6.91,10.0,4.93,2.09,2,0.4
25,Young Adult,Female,Health,0.0,8.81,8.0,6.32,1.04,2,11.11
57,Senior,Female,Education,1.17,5.68,9.0,5.29,2.21,1,3.03
61,Senior,Female,Finance,3.26,6.3,3.0,6.16,1.67,7,5.48
36,Adult,Female,Finance,5.53,9.82,3.0,4.09,0.34,0,7.58
54,Senior,Female,Finance,5.9,4.79,7.0,7.03,0.72,1,17.34
38,Adult,Female,Unemployed,0.0,4.36,5.0,3.44,1.85,0,2.44
23,Young Adult,Female,Unemployed,2.63,7.37,1.0,3.77,1.27,2,2.12
21,Young Adult,Female,Unemployed,3.29,10.48,3.0,4.39,2.11,1,0.82
26,Young Adult,Female,Finance,4.21,6.17,1.0,6.71,1.28,2,0.0
48,Adult,Female,Finance,4.37,8.2,8.0,5.38,0.44,1,15.4
57,Senior,Female,Health,0.59,10.67,6.0,7.39,0.59,1,10.68
45,Adult,Female,Student,1.16,8.35,6.0,6.38,1.37,6,9.84
32,Young Adult,Female,Unemployed,0.98,6.54,2.0,6.59,1.4,4,6.77
55,Senior,Female,Student,3.59,6.69,5.0,7.84,1.13,2,6.02
28,Young Adult,Female,Finance,2.63,5.44,1.0,5.13,1.98,0,4.94
25,Young Adult,Female,Education,2.14,5.16,1.0,5.39,1.9,2,2.26
43,Adult,Female,Health,3.84,2.54,3.0,10.0,1.01,3,6.13
62,Senior,Female,IT,0.0,3.47,8.0,5.65,1.72,3,2.23
61,Senior,Female,Unemployed,3.3,8.41,8.0,7.89,0.0,2,6.03
23,Young Adult,Female,Education,5.27,6.45,3.0,6.77,0.0,1,13.09
64,Senior,Female,Education,1.06,9.51,2.0,7.69,0.37,4,8.7
54,Senior,Female,Student,5.28,6.74,2.0,6.16,1.49,3,0.0
28,Young Adult,Female,Student,7.06,5.78,8.0,4.67,1.83,2,2.31
23,Young Adult,Female,IT,6.01,9.61,9.0,8.33,0.57,2,2.58
27,Young Adult,Female,IT,4.33,7.24,8.0,8.08,0.67,3,23.4
30,Young Adult,Female,Finance,1.45,2.91,7.0,7.64,1.67,1,15.15
37,Adult,Female,Finance,4.36,1.16,10.0,4.74,0.15,1,15.79
54,Senior,Female,Finance,4.57,3.73,5.0,5.14,1.2,2,8.33
26,Young Adult,Female,Unemployed,17.33,7.54,2.0,6.8,0.36,2,16.13
32,Young Adult,Female,Education,4.79,5.39,5.0,5.83,0.66,1,5.1
55,Senior,Female,Health,3.5,5.29,2.0,8.29,1.18,0,13.81
61,Senior,Female,Unemployed,0.0,6.5,4.0,6.87,0.34,0,14.79
28,Young Adult,Female,Health,1.66,5.55,10.0,4.96,1.12,2,1.22
51,Senior,Female,Unemployed,1.44,7.03,1.0,8.11,2.47,3,17.69
29,Young Adult,Female,Finance,4.46,5.28,3.0,6.4,0.0,3,0.0
57,Senior,Female,IT,3.53,5.77,10.0,4.8,0.93,3,9.15
46,Adult,Female,Education,2.34,9.75,9.0,8.67,1.74,1,12.81
25,Young Adult,Female,IT,3.19,9.16,5.0,10.0,1.06,2,7.66
38,Adult,Female,Health,5.38,4.52,7.0,7.39,0.87,2,22.0
22,Young Adult,Female,IT,4.04,8.74,5.0,5.28,1.22,0,15.67
36,Adult,Female,Unemployed,0.0,2.77,4.0,8.3,0.26,1,0.0
59,Senior,Female,IT,2.31,8.94,10.0,7.86,1.73,0,0.37
42,Adult,Female,Finance,3.38,9.94,1.0,4.58,1.02,1,16.96
56,Senior,Female,IT,1.68,6.24,10.0,6.51,0.69,3,12.73
50,Adult,Female,Student,0.55,8.94,8.0,6.17,0.87,4,20.21
50,Adult,Female,IT,2.26,9.04,5.0,7.87,2.53,4,12.88
23,Young Adult,Female,Education,0.83,4.2,7.0,6.06,1.67,2,17.0
24,Young Adult,Female,Unemployed,0.85,5.35,10.0,9.25,0.0,2,5.12
50,Adult,Female,Education,5.12,8.49,5.0,5.82,0.43,1,3.8
44,Adult,Female,IT,6.22,8.89,6.0,3.76,0.0,3,8.19
